#{"t_start": 1765231824.391473, "env_id": "None"}
r,l,t
-2.0,1,3.622968
-2.0,1,6.504978
-2.0,1,9.363199
-2.0,1,12.257125
-2.0,1,15.107276
-2.0,1,17.94007
-2.0,1,20.778995
-2.0,1,23.674042
-2.0,1,26.538189
-2.0,1,29.437831
-2.0,1,32.317254
-2.0,1,35.162235
-2.0,1,38.00825
-2.0,1,40.851978
-2.0,1,43.683048
-2.0,1,46.519505
-1.767816,1,49.377467
-2.0,1,52.212275
-2.0,1,55.054919
-2.0,1,57.930989
-2.0,1,60.793155
-2.0,1,63.64839
-2.0,1,66.522449
-2.0,1,69.349408
-2.0,1,72.219041
-1.788737,1,75.052708
-2.0,1,77.909587
-1.773209,1,80.752114
-2.0,1,83.613873
-2.0,1,86.444043
-2.0,1,89.270122
-1.733796,1,92.102493
-2.0,1,94.945652
-2.0,1,97.783988
-2.0,1,100.70141
-2.0,1,103.595565
-2.0,1,106.487774
-1.79583,1,109.33611
-2.0,1,112.184622
-2.0,1,115.029636
-2.0,1,117.953264
-2.0,1,120.836379
-2.0,1,123.714139
-2.0,1,126.573064
-2.0,1,129.422082
-2.0,1,132.280459
-2.0,1,135.167281
-2.0,1,138.014346
-2.0,1,140.887742
-2.0,1,143.741999
-2.0,1,146.613621
-2.0,1,149.464731
-1.771901,1,152.32999
-2.0,1,155.188529
-2.0,1,158.023406
-2.0,1,160.899828
-2.0,1,163.757224
-2.0,1,166.619521
-2.0,1,169.508424
-2.0,1,172.401062
-2.0,1,175.281165
-2.0,1,178.136032
-2.0,1,181.000343
-2.0,1,183.864553
-2.0,1,186.744056
-2.0,1,189.600339
-2.0,1,192.436885
-2.0,1,195.293537
-2.0,1,198.154035
-2.0,1,201.023154
-2.0,1,203.918011
-1.741582,1,206.76859
-1.954235,1,209.646552
-2.0,1,212.528008
-2.0,1,215.398441
-2.0,1,218.259301
-2.0,1,221.17612
-2.0,1,224.091572
-2.0,1,227.00779
